gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
0.408899,3.666422,1.279924,0.155341,1.984456,1.514266,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.439663,4.000183,1.229262,0.409207,3.66976,1.279417,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.392907,4.000183,1.157602,0.439195,4.000183,1.228545,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.280474,3.896051,1.128792,0.391783,3.999142,1.157314,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.270219,3.405054,0.995117,0.280371,3.891141,1.127455,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.275346,3.010865,0.867546,0.27027,3.401112,0.993841,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.272416,2.147653,0.67332,0.275317,3.002233,0.865604,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.197949,1.811695,0.718,0.271671,2.144293,0.673767,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.164988,1.699628,0.798572,0.197619,1.810574,0.718806,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.131661,1.559116,0.871208,0.164655,1.698223,0.799298,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.152536,1.312641,0.8872,0.13187,1.556651,0.871368,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.149362,0.976195,0.807117,0.152504,1.309277,0.886399,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.135689,0.469328,0.670878,0.149225,0.971126,0.805755,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.101019,0.179027,0.530489,0.135342,0.466425,0.669474,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.050967,-0.203076,0.344687,0.100518,0.175206,0.528631,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.043154,-0.28145,0.306842,0.050889,-0.20386,0.344309,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.03998,-0.298297,0.298297,0.043122,-0.281618,0.306757,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.028261,-0.375206,0.260697,0.039863,-0.299066,0.297921,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.036684,-0.698468,0.028505,0.027612,-0.378439,0.258375,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.047183,-0.839101,-0.073674,-0.036789,-0.699874,0.027483,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.078679,-1.164317,-0.338216,-0.047498,-0.842353,-0.076319,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
